repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors,new-commits-last-30d
alacritty/alacritty,56387,560,229,131,17,9.931,0,8,3189,431,Rust,false,0,Applications,,88.000,7,14
cch123/asm-cli-rust,323,5,3,0,0,15.480,7,84,2124,6,Rust,false,9,Applications,,7.000,0,0
cloudflare/boringtun,6106,52,22,12,2,8.516,0,27,2221,101,Rust,false,0,Applications,,50.000,1,1
defguard/defguard,1395,260,161,144,12,186.380,0,4,753,13,TypeScript,false,0,Applications,,100.000,3,26
denoland/deno,97464,2400,554,267,29,24.624,0,0,2372,975,Rust,false,162,Applications,,100.000,38,203
doprz/dipc,219,22,15,10,1,100.457,0,5,575,4,Rust,false,9,Applications,,65.000,1,1
EasyTier/EasyTier,1765,323,193,79,10,183.003,0,0,408,19,Rust,false,0,Applications,,100.000,7,21
fcsonline/drill,2093,22,9,2,0,10.511,1,447,2733,25,Rust,false,18,Applications,,25.000,0,0
printfn/fend,668,18,5,3,0,26.946,4,7,1563,29,Rust,false,1,Applications,,46.000,3,41
fractalide/fractalide,873,5,3,2,2,5.727,0,125,3262,14,Racket,false,0,Applications,,22.000,0,0
habitat-sh/habitat,2607,4,2,1,0,1.534,5,2,3460,179,Rust,false,0,Applications,,62.000,7,132
imjacobclark/Herd,110,0,0,0,0,0.000,101,626,3451,3,Rust,false,7,Applications,,0.000,0,0
tonarino/innernet,5003,34,14,8,0,6.796,1,17,1322,33,Rust,false,0,Applications,,35.000,1,1
awslabs/flowgger,830,4,0,0,0,4.819,24,171,3381,19,Rust,false,16,Applications,,4.000,0,0
PaddiM8/kalker,1655,17,8,5,2,10.272,0,38,1620,22,Rust,false,0,Applications,,37.000,0,0
hcavarsan/kftray,846,26,9,2,0,30.733,2,0,351,5,Rust,false,0,Applications,,81.000,3,11
changlan/kytan,490,6,1,0,0,12.245,8,416,3211,6,Rust,false,13,Applications,,7.000,0,0
linkerd/linkerd2-proxy,1984,8,4,0,0,4.032,7,2,2318,60,Rust,false,1,Applications,,57.000,6,62
rust-lang/mdBook,18186,259,154,103,57,14.242,0,1,3415,315,Rust,false,28,Applications,,100.000,5,21
metalbear-co/mirrord,3810,51,30,16,2,13.386,0,2,1013,31,Rust,false,39,Applications,,90.000,8,49
nicohman/eidolon,126,1,1,0,0,7.937,12,1848,2548,3,Rust,false,10,Applications,,5.000,0,0
sebadob/rauthy,337,20,7,5,1,59.347,0,2,499,11,Rust,false,79,Applications,,77.000,2,15
raphamorim/rio,3747,227,139,99,32,60.582,0,1,767,61,Rust,false,33,Applications,,100.000,7,165
cloudhead/rx,3135,23,13,8,2,7.337,0,497,1915,17,Rust,false,19,Applications,,35.000,0,0
ignisda/ryot,1988,82,50,15,1,41.247,0,1,587,18,TypeScript,false,0,Applications,,100.000,1,25
servo/servo,28413,308,124,66,7,10.840,0,0,4659,1236,Rust,false,140,Applications,,100.000,32,268
cfal/shoes,231,13,7,3,1,56.277,0,51,1016,2,Rust,false,29,Applications,,37.000,0,0
