dep,awesome_rust_repos_using_dep,crate_category,crate_total_downloads,crate_recent_downloads,repo_url
cargo_metadata,21,,90641840,12911227,https://github.com/oli-obk/cargo_metadata
serde_repr,13,Encoding,72935265,11064160,https://github.com/dtolnay/serde-repr
rustls-pki-types,20,Cryptography,106940508,29697544,https://github.com/rustls/pki-types
quick-xml,11,Asynchronous,118386475,23960688,https://github.com/tafia/quick-xml
nom,30,Parsing tools,283131782,35510812,https://github.com/rust-bakery/nom
web-time,14,Date and time,42690017,13446852,https://github.com/daxpedda/web-time
futures-lite,12,Concurrency,129972991,20907443,https://github.com/smol-rs/futures-lite
mime,31,,246871325,32725477,https://github.com/hyperium/mime
home,16,,141773735,25628784,https://github.com/rust-lang/cargo
arboard,12,,12408863,2642168,https://github.com/1Password/arboard
jsonwebtoken,14,,59211228,10492434,https://github.com/Keats/jsonwebtoken
inventory,13,Build Utils,41353197,7840751,https://github.com/dtolnay/inventory
crossbeam-queue,12,Concurrency,126773682,16027513,https://github.com/crossbeam-rs/crossbeam
jiff,11,Date and time,17679529,10032549,https://github.com/BurntSushi/jiff
wgpu,16,,9465947,1528993,https://github.com/gfx-rs/wgpu
flume,17,Concurrency,76896496,13682984,https://github.com/zesterer/flume
derive_builder,15,Development tools,58376454,12179683,https://github.com/colin-kiegel/rust-derive-builder
sysinfo,36,,57409329,11398967,https://github.com/GuillaumeGomez/sysinfo
chrono-tz,12,Date and time,54803197,8929145,https://github.com/chronotope/chrono-tz
ipnet,16,Network programming,207825306,29558842,https://github.com/krisprice/ipnet
smallvec,62,Data structures,449415783,59670670,https://github.com/servo/rust-smallvec
uuid,113,Data structures,298367193,40838069,https://github.com/uuid-rs/uuid
which,26,Filesystem,188941604,22705681,https://github.com/harryfei/which-rs.git
async-std,21,Asynchronous,47365868,7619311,https://github.com/async-rs/async-std
governor,15,Network programming,26075968,5170655,https://github.com/boinkor-net/governor.git
semver,62,Data structures,403930569,50072648,https://github.com/dtolnay/semver
zstd,30,API bindings,147932237,23371779,https://github.com/gyscos/zstd-rs
ignore,19,,64385371,9142027,https://github.com/BurntSushi/ripgrep/tree/master/crates/ignore
csv,30,Encoding,105854249,13331233,https://github.com/BurntSushi/rust-csv
strum_macros,37,Procedural macro helpers,223040752,37116166,https://github.com/Peternator7/strum
webpki-roots,24,,220315734,38157521,https://github.com/rustls/webpki-roots
regex,202,Text processing,475642388,58147110,https://github.com/rust-lang/regex
aws-config,12,,37494966,6204269,https://github.com/smithy-lang/smithy-rs
rand_core,17,Algorithms,597870126,92965925,https://github.com/rust-random/rand
tempfile,101,,302819941,41864338,https://github.com/Stebalien/tempfile
pbkdf2,12,Authentication,95444179,13811224,https://github.com/RustCrypto/password-hashes
md-5,18,Cryptography,119138804,17522841,https://github.com/RustCrypto/hashes
shellexpand,14,,22296329,3281500,https://gitlab.com/ijackson/rust-shellexpand
digest,20,Cryptography,385053595,46348998,https://github.com/RustCrypto/traits
async-recursion,14,,58598727,9432286,https://github.com/dcchut/async-recursion
handlebars,11,Web programming,45790753,5851185,https://github.com/sunng87/handlebars-rust
rustc-hash,37,,229102301,44657712,https://github.com/rust-lang/rustc-hash
unicode-segmentation,33,,213842490,26532061,https://github.com/unicode-rs/unicode-segmentation
serde_derive,69,No dynamic allocation,525136906,68016868,https://github.com/serde-rs/serde
dashmap,37,Algorithms,133364542,22135892,https://github.com/xacrimon/dashmap
dotenvy,15,,46885716,9501477,https://github.com/allan2/dotenvy
futures-util,77,,318189590,42440785,https://github.com/rust-lang/futures-rs
nalgebra,13,Mathematics,31914818,6557748,https://github.com/dimforge/nalgebra
ctrlc,34,Operating systems,54831893,8738934,https://github.com/Detegr/rust-ctrlc.git
thiserror,208,Rust patterns,464636172,80554895,https://github.com/dtolnay/thiserror
serde_yaml,59,Encoding,135887030,21753874,https://github.com/dtolnay/serde-yaml
dirs,63,,122268756,16024673,https://github.com/soc/dirs-rs
pyo3,13,API bindings,86529340,14135401,https://github.com/pyo3/pyo3
num-traits,74,Algorithms,427256652,55397079,https://github.com/rust-num/num-traits
pretty_assertions,32,Development tools,80181953,12389244,https://github.com/rust-pretty-assertions/rust-pretty-assertions
walkdir,67,Filesystem,237541302,33186429,https://github.com/BurntSushi/walkdir
proc-macro2,56,Procedural macro helpers,659357252,85596547,https://github.com/dtolnay/proc-macro2
md5,16,Cryptography,60055818,7654263,https://github.com/stainless-steel/md5
opentelemetry,20,API bindings,92232886,14667463,https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry
h2,12,Asynchronous,301356182,44446183,https://github.com/hyperium/h2
dirs-next,13,,77079297,9330715,https://github.com/xdg-rs/dirs
num,30,Algorithms,108871253,14529478,https://github.com/rust-num/num
futures-core,18,,325118198,43102949,https://github.com/rust-lang/futures-rs
rustyline,17,Command-line interface,16711963,2694596,https://github.com/kkawakam/rustyline
phf,16,Data structures,162963721,24859465,https://github.com/rust-phf/rust-phf
